attendance_id,student_id,date,status,remarks
ATT093,STU093,2024-01-15,Absent,Personal reasons
ATT094,STU094,2024-01-15,Present,
ATT095,STU095,2024-01-15,Present,
ATT096,STU096,2024-01-15,Present,
ATT097,STU097,2024-01-15,Absent,Medical leave
ATT098,STU098,2024-01-15,Present,
ATT099,STU099,2024-01-15,Present,
ATT100,STU100,2024-01-15,Present,
ATT101,STU101,2024-01-15,Present,
ATT102,STU102,2024-01-15,Present,
ATT103,STU103,2024-01-15,Absent,No reason provided
ATT104,STU104,2024-01-15,Present,
ATT105,STU105,2024-01-15,Present,
ATT106,STU106,2024-01-15,Present,
ATT107,STU107,2024-01-15,Present,
ATT108,STU108,2024-01-15,Late,Traffic delay
ATT109,STU109,2024-01-15,Absent,Family emergency
ATT110,STU110,2024-01-15,Present,
ATT111,STU111,2024-01-15,Present,
ATT112,STU112,2024-01-15,Absent,Personal reasons
ATT113,STU113,2024-01-15,Present,
ATT114,STU114,2024-01-15,Present,
ATT115,STU115,2024-01-15,Present,
ATT116,STU116,2024-01-15,Present,
ATT117,STU117,2024-01-15,Absent,Medical leave
ATT118,STU118,2024-01-15,Present,
ATT119,STU119,2024-01-15,Present,
ATT120,STU120,2024-01-15,Present,
ATT121,STU121,2024-01-15,Absent,No reason provided
ATT122,STU122,2024-01-15,Present,
ATT123,STU123,2024-01-15,Present,
ATT124,STU124,2024-01-15,Present,
ATT125,STU125,2024-01-15,Present,
ATT126,STU126,2024-01-15,Present,
ATT127,STU127,2024-01-15,Absent,Family emergency
ATT128,STU128,2024-01-15,Present,
ATT129,STU129,2024-01-15,Present,
ATT130,STU130,2024-01-15,Present,
ATT131,STU131,2024-01-15,Present,
ATT132,STU132,2024-01-15,Late,Bus delay
ATT133,STU133,2024-01-15,Absent,Personal reasons
ATT134,STU134,2024-01-15,Present,
ATT135,STU135,2024-01-15,Present,
ATT136,STU136,2024-01-15,Absent,Medical leave
ATT137,STU137,2024-01-15,Present,
ATT138,STU138,2024-01-15,Present,
ATT139,STU139,2024-01-15,Present,
ATT140,STU140,2024-01-15,Present,
ATT141,STU141,2024-01-15,Absent,No reason provided
ATT142,STU142,2024-01-15,Present,
ATT143,STU143,2024-01-15,Present,
ATT144,STU144,2024-01-15,Present,
ATT145,STU145,2024-01-15,Absent,Family emergency
ATT146,STU146,2024-01-15,Present,
ATT147,STU147,2024-01-15,Present,
ATT148,STU148,2024-01-15,Present,
ATT149,STU149,2024-01-15,Present,
ATT150,STU150,2024-01-15,Present,
ATT151,STU151,2024-01-15,Absent,Personal reasons
ATT152,STU152,2024-01-15,Present,
ATT153,STU153,2024-01-15,Present,
ATT154,STU154,2024-01-15,Present,
ATT155,STU155,2024-01-15,Present,
ATT156,STU156,2024-01-15,Late,Traffic delay
ATT157,STU157,2024-01-15,Absent,Medical leave
ATT158,STU158,2024-01-15,Present,
ATT159,STU159,2024-01-15,Present,
ATT160,STU160,2024-01-15,Absent,No reason provided
ATT161,STU161,2024-01-15,Present,
ATT162,STU162,2024-01-15,Present,
ATT163,STU163,2024-01-15,Present,
ATT164,STU164,2024-01-15,Present,
ATT165,STU165,2024-01-15,Absent,Family emergency
ATT166,STU166,2024-01-15,Present,
ATT167,STU167,2024-01-15,Present,
ATT168,STU168,2024-01-15,Present,
ATT169,STU169,2024-01-15,Absent,Personal reasons
ATT170,STU170,2024-01-15,Present,
ATT171,STU171,2024-01-15,Present,
ATT172,STU172,2024-01-15,Present,
ATT173,STU173,2024-01-15,Present,
ATT174,STU174,2024-01-15,Present,
ATT175,STU175,2024-01-15,Absent,Medical leave
ATT176,STU176,2024-01-15,Present,
ATT177,STU177,2024-01-15,Present,
ATT178,STU178,2024-01-15,Present,
ATT179,STU179,2024-01-15,Present,
ATT180,STU180,2024-01-15,Late,Bus delay
ATT181,STU181,2024-01-15,Absent,No reason provided
ATT182,STU182,2024-01-15,Present,
ATT183,STU183,2024-01-15,Present,
ATT184,STU184,2024-01-15,Absent,Family emergency
ATT185,STU185,2024-01-15,Present,
ATT186,STU186,2024-01-15,Present,
ATT187,STU187,2024-01-15,Present,
ATT188,STU188,2024-01-15,Present,
ATT189,STU189,2024-01-15,Absent,Personal reasons
ATT190,STU190,2024-01-15,Present,
ATT191,STU191,2024-01-15,Present,
ATT192,STU192,2024-01-15,Present,
ATT193,STU193,2024-01-15,Absent,Medical leave
ATT194,STU194,2024-01-15,Present,
ATT195,STU195,2024-01-15,Present,
ATT196,STU196,2024-01-15,Present,
ATT197,STU197,2024-01-15,Present,
ATT198,STU198,2024-01-15,Present,
ATT199,STU199,2024-01-15,Absent,No reason provided
ATT200,STU200,2024-01-15,Present,
ATT201,STU001,2024-01-16,Present,
ATT202,STU002,2024-01-16,Present,
ATT203,STU003,2024-01-16,Absent,Medical leave
ATT204,STU004,2024-01-16,Present,
ATT205,STU005,2024-01-16,Absent,No reason provided
ATT206,STU006,2024-01-16,Present,
ATT207,STU007,2024-01-16,Present,
ATT208,STU008,2024-01-16,Present,
ATT209,STU009,2024-01-16,Present,
ATT210,STU010,2024-01-16,Present,
ATT211,STU011,2024-01-16,Absent,Family emergency
ATT212,STU012,2024-01-16,Present,
ATT213,STU013,2024-01-16,Present,
ATT214,STU014,2024-01-16,Present,
ATT215,STU015,2024-01-16,Present,
ATT216,STU016,2024-01-16,Absent,Personal reasons
ATT217,STU017,2024-01-16,Present,
ATT218,STU018,2024-01-16,Present,
ATT219,STU019,2024-01-16,Present,
ATT220,STU020,2024-01-16,Present,
ATT221,STU021,2024-01-16,Absent,No reason provided
ATT222,STU022,2024-01-16,Present,
ATT223,STU023,2024-01-16,Present,
ATT224,STU024,2024-01-16,Present,
ATT225,STU025,2024-01-16,Absent,Medical leave
ATT226,STU026,2024-01-16,Present,
ATT227,STU027,2024-01-16,Present,
ATT228,STU028,2024-01-16,Present,
ATT229,STU029,2024-01-16,Present,
ATT230,STU030,2024-01-16,Present,
ATT231,STU031,2024-01-16,Absent,Family emergency
ATT232,STU032,2024-01-16,Present,
ATT233,STU033,2024-01-16,Present,
ATT234,STU034,2024-01-16,Present,
ATT235,STU035,2024-01-16,Present,
ATT236,STU036,2024-01-16,Present,
ATT237,STU037,2024-01-16,Absent,Personal reasons
ATT238,STU038,2024-01-16,Present,
ATT239,STU039,2024-01-16,Present,
ATT240,STU040,2024-01-16,Absent,Medical leave
ATT241,STU041,2024-01-16,Present,
ATT242,STU042,2024-01-16,Present,
ATT243,STU043,2024-01-16,Present,
ATT244,STU044,2024-01-16,Present,
ATT245,STU045,2024-01-16,Absent,No reason provided
ATT246,STU046,2024-01-16,Present,
ATT247,STU047,2024-01-16,Present,
ATT248,STU048,2024-01-16,Present,
ATT249,STU049,2024-01-16,Absent,Family emergency
ATT250,STU050,2024-01-16,Present,
ATT251,STU051,2024-01-16,Present,
ATT252,STU052,2024-01-16,Present,
ATT253,STU053,2024-01-16,Present,
ATT254,STU054,2024-01-16,Present,
ATT255,STU055,2024-01-16,Absent,Personal reasons
ATT256,STU056,2024-01-16,Present,
ATT257,STU057,2024-01-16,Present,
ATT258,STU058,2024-01-16,Present,
ATT259,STU059,2024-01-16,Present,
ATT260,STU060,2024-01-16,Present,
ATT261,STU061,2024-01-16,Absent,Medical leave
ATT262,STU062,2024-01-16,Present,
ATT263,STU063,2024-01-16,Present,
ATT264,STU064,2024-01-16,Absent,No reason provided
ATT265,STU065,2024-01-16,Present,
ATT266,STU066,2024-01-16,Present,
ATT267,STU067,2024-01-16,Present,
ATT268,STU068,2024-01-16,Present,
ATT269,STU069,2024-01-16,Absent,Family emergency
ATT270,STU070,2024-01-16,Present,
ATT271,STU071,2024-01-16,Present,
ATT272,STU072,2024-01-16,Present,
ATT273,STU073,2024-01-16,Absent,Personal reasons
ATT274,STU074,2024-01-16,Present,
ATT275,STU075,2024-01-16,Present,
ATT276,STU076,2024-01-16,Present,
ATT277,STU077,2024-01-16,Present,
ATT278,STU078,2024-01-16,Present,
ATT279,STU079,2024-01-16,Absent,Medical leave
ATT280,STU080,2024-01-16,Present,
ATT281,STU081,2024-01-16,Present,
ATT282,STU082,2024-01-16,Present,
ATT283,STU083,2024-01-16,Present,
ATT284,STU084,2024-01-16,Present,
ATT285,STU085,2024-01-16,Absent,No reason provided
ATT286,STU086,2024-01-16,Present,
ATT287,STU087,2024-01-16,Present,
ATT288,STU088,2024-01-16,Absent,Family emergency
ATT289,STU089,2024-01-16,Present,
ATT290,STU090,2024-01-16,Present,
ATT291,STU091,2024-01-16,Present,
ATT292,STU092,2024-01-16,Present,
ATT293,STU093,2024-01-16,Absent,Personal reasons
ATT294,STU094,2024-01-16,Present,
ATT295,STU095,2024-01-16,Present,
ATT296,STU096,2024-01-16,Present,
ATT297,STU097,2024-01-16,Absent,Medical leave
ATT298,STU098,2024-01-16,Present,
ATT299,STU099,2024-01-16,Present,
ATT300,STU100,2024-01-16,Present,
ATT301,STU101,2024-01-16,Present,
ATT302,STU102,2024-01-16,Present,
ATT303,STU103,2024-01-16,Absent,No reason provided
ATT304,STU104,2024-01-16,Present,
ATT305,STU105,2024-01-16,Present,
ATT306,STU106,2024-01-16,Present,
ATT307,STU107,2024-01-16,Present,
ATT308,STU108,2024-01-16,Present,
ATT309,STU109,2024-01-16,Absent,Family emergency
ATT310,STU110,2024-01-16,Present,
ATT311,STU111,2024-01-16,Present,
ATT312,STU112,2024-01-16,Absent,Personal reasons
ATT313,STU113,2024-01-16,Present,
ATT314,STU114,2024-01-16,Present,
ATT315,STU115,2024-01-16,Present,
ATT316,STU116,2024-01-16,Present,
ATT317,STU117,2024-01-16,Absent,Medical leave
ATT318,STU118,2024-01-16,Present,
ATT319,STU119,2024-01-16,Present,
ATT320,STU120,2024-01-16,Present,
ATT321,STU121,2024-01-16,Absent,No reason provided
ATT322,STU122,2024-01-16,Present,
ATT323,STU123,2024-01-16,Present,
ATT324,STU124,2024-01-16,Present,
ATT325,STU125,2024-01-16,Present,
ATT326,STU126,2024-01-16,Present,
ATT327,STU127,2024-01-16,Absent,Family emergency
ATT328,STU128,2024-01-16,Present,
ATT329,STU129,2024-01-16,Present,
ATT330,STU130,2024-01-16,Present,
ATT331,STU131,2024-01-16,Present,
ATT332,STU132,2024-01-16,Present,
ATT333,STU133,2024-01-16,Absent,Personal reasons
ATT334,STU134,2024-01-16,Present,
ATT335,STU135,2024-01-16,Present,
ATT336,STU136,2024-01-16,Absent,Medical leave
ATT337,STU137,2024-01-16,Present,
ATT338,STU138,2024-01-16,Present,
ATT339,STU139,2024-01-16,Present,
ATT340,STU140,2024-01-16,Present,
ATT341,STU141,2024-01-16,Absent,No reason provided
ATT342,STU142,2024-01-16,Present,
ATT343,STU143,2024-01-16,Present,
ATT344,STU144,2024-01-16,Present,
ATT345,STU145,2024-01-16,Absent,Family emergency
ATT346,STU146,2024-01-16,Present,
ATT347,STU147,2024-01-16,Present,
ATT348,STU148,2024-01-16,Present,
ATT349,STU149,2024-01-16,Present,
ATT350,STU150,2024-01-16,Present,
ATT351,STU151,2024-01-16,Absent,Personal reasons
ATT352,STU152,2024-01-16,Present,
ATT353,STU153,2024-01-16,Present,
ATT354,STU154,2024-01-16,Present,
ATT355,STU155,2024-01-16,Present,
ATT356,STU156,2024-01-16,Present,
ATT357,STU157,2024-01-16,Absent,Medical leave
ATT358,STU158,2024-01-16,Present,
ATT359,STU159,2024-01-16,Present,
ATT360,STU160,2024-01-16,Absent,No reason provided
ATT361,STU161,2024-01-16,Present,
ATT362,STU162,2024-01-16,Present,
ATT363,STU163,2024-01-16,Present,
ATT364,STU164,2024-01-16,Present,
ATT365,STU165,2024-01-16,Absent,Family emergency
ATT366,STU166,2024-01-16,Present,
ATT367,STU167,2024-01-16,Present,
ATT368,STU168,2024-01-16,Present,
ATT369,STU169,2024-01-16,Absent,Personal reasons
ATT370,STU170,2024-01-16,Present,
ATT371,STU171,2024-01-16,Present,
ATT372,STU172,2024-01-16,Present,
ATT373,STU173,2024-01-16,Present,
ATT374,STU174,2024-01-16,Present,
ATT375,STU175,2024-01-16,Absent,Medical leave
ATT376,STU176,2024-01-16,Present,
ATT377,STU177,2024-01-16,Present,
ATT378,STU178,2024-01-16,Present,
ATT379,STU179,2024-01-16,Present,
ATT380,STU180,2024-01-16,Present,
ATT381,STU181,2024-01-16,Absent,No reason provided
ATT382,STU182,2024-01-16,Present,
ATT383,STU183,2024-01-16,Present,
ATT384,STU184,2024-01-16,Absent,Family emergency
ATT385,STU185,2024-01-16,Present,
ATT386,STU186,2024-01-16,Present,
ATT387,STU187,2024-01-16,Present,
ATT388,STU188,2024-01-16,Present,
ATT389,STU189,2024-01-16,Absent,Personal reasons
ATT390,STU190,2024-01-16,Present,
ATT391,STU191,2024-01-16,Present,
ATT392,STU192,2024-01-16,Present,
ATT393,STU193,2024-01-16,Absent,Medical leave
ATT394,STU194,2024-01-16,Present,
ATT395,STU195,2024-01-16,Present,
ATT396,STU196,2024-01-16,Present,
ATT397,STU197,2024-01-16,Present,
ATT398,STU198,2024-01-16,Present,
ATT399,STU199,2024-01-16,Absent,No reason provided
ATT400,STU200,2024-01-16,Present,
